Image Name,Suitability Rating 1,Suitability Rating 2,Average Rating,Consensus (Std Dev),Category
combined_1.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_2.jpg,0.5,1.0,0.75,0.25,Very Compatible
combined_3.jpg,0.5,0.5,0.5,0.0,Slightly Compatible
combined_4.jpg,0.75,0.75,0.75,0.0,Very Compatible
combined_5.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_6.jpg,0.75,0.75,0.75,0.0,Very Compatible
combined_7.jpg,1.0,0.5,0.75,0.25,Very Compatible
combined_8.jpg,0.5,0.5,0.5,0.0,Slightly Compatible
combined_9.jpg,0.5,0.5,0.5,0.0,Slightly Compatible
combined_10.jpg,1.0,0.5,0.75,0.25,Very Compatible
combined_11.jpg,1.0,0.75,0.875,0.125,Highly Compatible
combined_12.jpg,0.0,0.25,0.125,0.125,Not Compatible
combined_13.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_14.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_15.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_16.jpg,0.75,1.0,0.875,0.125,Highly Compatible
combined_17.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_18.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_19.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_20.jpg,0.5,0.5,0.5,0.0,Slightly Compatible
combined_21.jpg,1.0,0.75,0.875,0.125,Highly Compatible
combined_22.jpg,0.75,1.0,0.875,0.125,Highly Compatible
combined_23.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_24.jpg,0.75,1.0,0.875,0.125,Highly Compatible
combined_25.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_26.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_27.jpg,1.0,0.75,0.875,0.125,Highly Compatible
combined_28.jpg,0.75,0.5,0.625,0.125,Compatible
combined_29.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_30.jpg,1.0,1.0,1.0,0.0,Highly Compatible
combined_31.jpg,0.75,1.0,0.875,0.125,Highly Compatible
combined_32.jpg,1.0,1.0,1.0,0.0,Highly Compatible
